query,alpha,iter,plan_time,run_time,plan_hash
3,0.000000,0,2,79,-1892313453
3,0.000000,1,2,94,-1892313453
3,0.000000,2,4,85,-1892313453
3,0.000000,3,2,83,-1892313453
3,0.000000,4,2,85,-1892313453
3,0.000000,5,2,91,-1892313453
3,0.000000,6,2,76,-1892313453
3,0.000000,7,2,92,-1892313453
3,0.000000,8,2,87,-1892313453
3,0.000000,9,2,75,-1892313453
3,0.000000,10,2,82,-1892313453
3,0.000000,11,3,94,-1892313453
3,0.000000,12,2,93,-1892313453
3,0.000000,13,2,94,-1892313453
3,0.000000,14,2,89,-1892313453
3,0.000000,15,2,87,-1892313453
3,0.000000,16,2,96,-1892313453
3,0.000000,17,2,78,-1892313453
3,0.000000,18,2,100,-1892313453
3,0.000000,19,3,85,-1892313453
