query,alpha,iter,plan_time,run_time,plan_hash
2,0.000000,0,2,44,-1124933473
2,0.000000,1,1,48,-1124933473
2,0.000000,2,1,47,-1124933473
2,0.000000,3,2,47,-1124933473
2,0.000000,4,1,42,-1124933473
2,0.000000,5,2,51,-1124933473
2,0.000000,6,1,51,-1124933473
2,0.000000,7,2,58,-1124933473
2,0.000000,8,1,40,-1124933473
2,0.000000,9,1,42,-1124933473
2,0.000000,10,1,48,-1124933473
2,0.000000,11,1,53,-1124933473
2,0.000000,12,1,45,-1124933473
2,0.000000,13,1,41,-1124933473
2,0.000000,14,1,46,-1124933473
2,0.000000,15,1,52,-1124933473
2,0.000000,16,1,42,-1124933473
2,0.000000,17,1,41,-1124933473
2,0.000000,18,1,51,-1124933473
2,0.000000,19,1,65,-1124933473
