query,alpha,iter,plan_time,run_time,plan_hash
0,0.000000,0,116,807,1062297662
0,0.000000,1,17,227,1062297662
0,0.000000,2,8,189,1062297662
0,0.000000,3,7,156,1062297662
0,0.000000,4,6,160,1062297662
0,0.000000,5,5,146,1062297662
0,0.000000,6,5,178,1062297662
0,0.000000,7,5,151,1062297662
0,0.000000,8,6,167,1062297662
0,0.000000,9,4,146,1062297662
0,0.000000,10,3,153,1062297662
0,0.000000,11,4,148,1062297662
0,0.000000,12,4,176,1062297662
0,0.000000,13,3,142,1062297662
0,0.000000,14,3,152,1062297662
0,0.000000,15,2,141,1062297662
0,0.000000,16,2,147,1062297662
0,0.000000,17,4,145,1062297662
0,0.000000,18,3,153,1062297662
0,0.000000,19,3,136,1062297662
