query,alpha,iter,plan_time,run_time,plan_hash
1,0.000000,0,4,178,-1937145265
1,0.000000,1,4,128,-558423729
1,0.000000,2,3,145,-1937145265
1,0.000000,3,3,132,-1937145265
1,0.000000,4,3,137,-558423729
1,0.000000,5,5,134,-1937145265
1,0.000000,6,3,134,-558423729
1,0.000000,7,3,130,-558423729
1,0.000000,8,5,145,-558423729
1,0.000000,9,3,140,-558423729
1,0.000000,10,3,126,-1937145265
1,0.000000,11,5,135,-558423729
1,0.000000,12,3,128,-558423729
1,0.000000,13,3,131,-1937145265
1,0.000000,14,3,130,-1937145265
1,0.000000,15,3,162,-558423729
1,0.000000,16,5,136,-1937145265
1,0.000000,17,3,129,-1937145265
1,0.000000,18,3,125,-558423729
1,0.000000,19,3,136,-1937145265
